"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 21 00:11:01 BRT 2024","Thu Mar 21 00:11:02 BRT 2024","100","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerTest","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerTest","deveRetornarTodasAsReservasParaUmRestauranteComSucesso","deveRetornarTodasAsReservasParaUmRestauranteComSucesso()",""
"passed","Thu Mar 21 00:10:53 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","43","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","devePermitirBuscarRestaurantePorLocalizacao","devePermitirBuscarRestaurantePorLocalizacao()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","6","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceTest$registrarAvaliacao","deveLancarExceptionAoTentarRegistrarAvaliacaoComPontuacaoAcimaDe5","deveLancarExceptionAoTentarRegistrarAvaliacaoComPontuacaoAcimaDe5()",""
"passed","Thu Mar 21 00:10:53 BRT 2024","Thu Mar 21 00:10:53 BRT 2024","22","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceTest","deveBuscarTodasAsReservasPorRestauranteComSucesso","deveBuscarTodasAsReservasPorRestauranteComSucesso()",""
"passed","Thu Mar 21 00:01:56 BRT 2024","Thu Mar 21 00:01:57 BRT 2024","806","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest.findById","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest$findById","deveLancarExceptionAoNaoEncontrarReservar","deveLancarExceptionAoNaoEncontrarReservar()",""
"passed","Thu Mar 21 00:10:52 BRT 2024","Thu Mar 21 00:10:53 BRT 2024","1370","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceTest","deveLancarExceptionAoTentarReservarMesaComRestauranteNaoEncontrado","deveLancarExceptionAoTentarReservarMesaComRestauranteNaoEncontrado()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","25","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","devePermitirBuscarTodosRestaurantes","devePermitirBuscarTodosRestaurantes()",""
"passed","Thu Mar 21 00:10:51 BRT 2024","Thu Mar 21 00:10:52 BRT 2024","814","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceIntegrationTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceIntegrationTest$registrarAvaliacao","deveLancarExceptionAoTentarRegistrarAvaliacaoComPontuacaoAbaixoDe0","deveLancarExceptionAoTentarRegistrarAvaliacaoComPontuacaoAbaixoDe0()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","7","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceTest$registrarAvaliacao","deveRegistrarAvaliacaoComSucesso","deveRegistrarAvaliacaoComSucesso()",""
"passed","Thu Mar 21 00:10:53 BRT 2024","Thu Mar 21 00:10:53 BRT 2024","11","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceTest","deveReservarMesaComRestauranteComSucesso","deveReservarMesaComRestauranteComSucesso()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","38","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","devePermitirBuscarRestaurantesPorId","devePermitirBuscarRestaurantesPorId()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","30","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","deveLancarExcecaoAoBuscarTodosRestaurantes","deveLancarExcecaoAoBuscarTodosRestaurantes()",""
"passed","Thu Mar 21 00:01:59 BRT 2024","Thu Mar 21 00:01:59 BRT 2024","621","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest.findAll","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest$findAll","deveRetornarTodasAsReservasComSucesso","deveRetornarTodasAsReservasComSucesso()",""
"passed","Thu Mar 21 00:01:36 BRT 2024","Thu Mar 21 00:01:38 BRT 2024","2546","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest.findAll","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest$findAll","deveRetornarTodasAsAvaliacoesComSucesso","deveRetornarTodasAsAvaliacoesComSucesso()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","4","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","deveLancarExcecaoAoBuscarLocalizacaoRestauranteInexistente","deveLancarExcecaoAoBuscarLocalizacaoRestauranteInexistente()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","6","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceTest$registrarAvaliacao","deveLancarExceptionAoTentarRegistrarAvaliacaoComRestauranteNaoEncontrado","deveLancarExceptionAoTentarRegistrarAvaliacaoComRestauranteNaoEncontrado()",""
"passed","Thu Mar 21 00:02:04 BRT 2024","Thu Mar 21 00:02:04 BRT 2024","553","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest.reservarMesa","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest$reservarMesa","deveLancarExceptionAoTentarReservarEmRestauranteInexistente","deveLancarExceptionAoTentarReservarEmRestauranteInexistente()",""
