"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 01:05:15 GMT 2024","Tue Mar 26 01:05:15 GMT 2024","18","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","deveLancarExceptionAoTentarReservarMesaComRestauranteNaoEncontrado","deveLancarExceptionAoTentarReservarMesaComRestauranteNaoEncontrado()",""
"passed","Tue Mar 26 01:05:15 GMT 2024","Tue Mar 26 01:05:15 GMT 2024","21","","Testes de Atualização de Restaurante","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceIntegrationTest$atualizarRestaurante","deveLancarExcecaoAoAtualizarRestauranteInexistente","deveLancarExcecaoAoAtualizarRestauranteInexistente()",""
"passed","Tue Mar 26 01:05:16 GMT 2024","Tue Mar 26 01:05:16 GMT 2024","7","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceTest$registrarAvaliacao","deveLancarExceptionAoTentarRegistrarAvaliacaoComRestauranteNaoEncontrado","deveLancarExceptionAoTentarRegistrarAvaliacaoComRestauranteNaoEncontrado()",""
"passed","Tue Mar 26 01:05:24 GMT 2024","Tue Mar 26 01:05:24 GMT 2024","62","","Testes de Exclusão de Restaurante","","com.techchallenge.restaurant.api.findfood.controller.RestauranteControllerIntegrationTest$deletarRestaurante","deveLancarExcecaoAoDeletarRestauranteInexistente","deveLancarExcecaoAoDeletarRestauranteInexistente()",""
"passed","Tue Mar 26 01:05:25 GMT 2024","Tue Mar 26 01:05:25 GMT 2024","44","","Testes de Registro de Restaurante","","com.techchallenge.restaurant.api.findfood.controller.RestauranteControllerIntegrationTest$registrarRestaurante","deveLancarExcecaoAoSalvarRestauranteComNomeVazio","deveLancarExcecaoAoSalvarRestauranteComNomeVazio()",""
"passed","Tue Mar 26 01:05:24 GMT 2024","Tue Mar 26 01:05:24 GMT 2024","99","","Testes de Atualização de Restaurante","","com.techchallenge.restaurant.api.findfood.controller.RestauranteControllerIntegrationTest$atualizarRestaurante","deveLancarExcecaoAoAtualizarRestauranteInexistente","deveLancarExcecaoAoAtualizarRestauranteInexistente()",""
"passed","Tue Mar 26 01:05:17 GMT 2024","Tue Mar 26 01:05:17 GMT 2024","6","","Testes de Exclusão de Restaurante","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest$deletarRestaurante","devePermitirDeletarRestaurantes","devePermitirDeletarRestaurantes()",""
"passed","Tue Mar 26 01:05:15 GMT 2024","Tue Mar 26 01:05:15 GMT 2024","29","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","deveLancarExceptionAoTentarReservarMesaComRestauranteSemHorarioDisponivel","deveLancarExceptionAoTentarReservarMesaComRestauranteSemHorarioDisponivel()",""
"passed","Tue Mar 26 01:05:25 GMT 2024","Tue Mar 26 01:05:25 GMT 2024","45","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest$registrarAvaliacao","deveLancarExceptionQuandoTentarRegistrarAvaliacaoComPontuacaoMenorQue0","deveLancarExceptionQuandoTentarRegistrarAvaliacaoComPontuacaoMenorQue0()",""
"passed","Tue Mar 26 01:05:16 GMT 2024","Tue Mar 26 01:05:16 GMT 2024","18","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceIntegrationTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceIntegrationTest$registrarAvaliacao","deveLancarExceptionAoTentarRegistrarAvaliacaoComPontuacaoAcimaDe5","deveLancarExceptionAoTentarRegistrarAvaliacaoComPontuacaoAcimaDe5()",""
"passed","Tue Mar 26 01:05:22 GMT 2024","Tue Mar 26 01:05:23 GMT 2024","1608","","Testes de Busca de Restaurante","","com.techchallenge.restaurant.api.findfood.controller.RestauranteControllerIntegrationTest$buscarRestaurante","devePermitirBuscarRestaurantePorNome","devePermitirBuscarRestaurantePorNome()",""
"passed","Tue Mar 26 01:05:16 GMT 2024","Tue Mar 26 01:05:16 GMT 2024","103","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceTest","deveLancarExceptionAoTentarReservarMesaComRestauranteNaoEncontrado","deveLancarExceptionAoTentarReservarMesaComRestauranteNaoEncontrado()",""
"passed","Tue Mar 26 01:05:14 GMT 2024","Tue Mar 26 01:05:14 GMT 2024","46","","Testes de Busca de Restaurante","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceIntegrationTest$buscarRestaurante","devePermitirBuscarTodosRestaurantes","devePermitirBuscarTodosRestaurantes()",""
